millis;stamp;datetime;temp;flame_detect
999;1497825202;28/09/2018 13:23;19;0
1999;1497825203;28/09/2018 13:23;19;0
2999;1497825204;28/09/2018 13:23;19;0
3999;1497825205;28/09/2018 13:23;19;0
4999;1497825206;28/09/2018 13:23;19;0
5999;1497825207;28/09/2018 13:23;19;0
6999;1497825208;28/09/2018 13:23;19;0
8000;1497825209;28/09/2018 13:23;19;0
8999;1497825210;28/09/2018 13:23;19;0
9999;1497825211;28/09/2018 13:23;19;0
10998;1497825212;28/09/2018 13:23;19;0
11999;1497825213;28/09/2018 13:23;19;0
12999;1497825214;28/09/2018 13:23;19;0
14000;1497825215;28/09/2018 13:23;19;0
14999;1497825216;28/09/2018 13:23;19;0
16000;1497825217;28/09/2018 13:23;19;0
16999;1497825218;28/09/2018 13:23;19;0
17999;1497825219;28/09/2018 13:23;19;0
19000;1497825220;28/09/2018 13:23;19;0
19999;1497825221;28/09/2018 13:23;19;0
20999;1497825222;28/09/2018 13:23;19;0
21999;1497825223;28/09/2018 13:23;19;0
23000;1497825224;28/09/2018 13:23;19;0
23999;1497825225;28/09/2018 13:23;19;0
24998;1497825226;28/09/2018 13:23;19;0
25999;1497825227;28/09/2018 13:23;19;0
26999;1497825228;28/09/2018 13:23;19;0
27999;1497825229;28/09/2018 13:24;19;0
28999;1497825230;28/09/2018 13:24;19;0
29999;1497825231;28/09/2018 13:24;19;0
30999;1497825232;28/09/2018 13:24;19;0
32000;1497825233;28/09/2018 13:24;19;0
32999;1497825234;28/09/2018 13:24;19;0
33999;1497825235;28/09/2018 13:24;19;0
35000;1497825236;28/09/2018 13:24;19;0
35999;1497825237;28/09/2018 13:24;19;0
36999;1497825238;28/09/2018 13:24;19;0
37999;1497825239;28/09/2018 13:24;19;0
38999;1497825240;28/09/2018 13:24;19;0
39999;1497825241;28/09/2018 13:24;19;0
41000;1497825242;28/09/2018 13:24;19;0
42000;1497825243;28/09/2018 13:24;19;0
42999;1497825244;28/09/2018 13:24;19;0
43999;1497825245;28/09/2018 13:24;19;0
44999;1497825246;28/09/2018 13:24;19;0
46000;1497825247;28/09/2018 13:24;19;0
46999;1497825248;28/09/2018 13:24;19;0
48000;1497825249;28/09/2018 13:24;18.9;0
49000;1497825250;28/09/2018 13:24;18.9;0
49998;1497825251;28/09/2018 13:24;19;0
50999;1497825252;28/09/2018 13:24;19;0
51999;1497825253;28/09/2018 13:24;19;0
52999;1497825254;28/09/2018 13:24;19;0
53999;1497825255;28/09/2018 13:24;18.9;0
54999;1497825256;28/09/2018 13:24;18.9;0
56000;1497825257;28/09/2018 13:24;19;0
56998;1497825258;28/09/2018 13:24;19;0
57999;1497825259;28/09/2018 13:25;19;0
58999;1497825260;28/09/2018 13:25;18.9;0
59999;1497825261;28/09/2018 13:25;18.9;0
60999;1497825262;28/09/2018 13:25;18.9;0
61999;1497825263;28/09/2018 13:25;18.9;0
62999;1497825264;28/09/2018 13:25;18.9;0
64000;1497825265;28/09/2018 13:25;18.9;0
64999;1497825266;28/09/2018 13:25;18.9;0
65999;1497825267;28/09/2018 13:25;18.9;0
66999;1497825268;28/09/2018 13:25;18.9;0
67998;1497825269;28/09/2018 13:25;18.9;0
68999;1497825270;28/09/2018 13:25;18.9;0
69998;1497825271;28/09/2018 13:25;18.9;0
70999;1497825272;28/09/2018 13:25;18.9;0
71999;1497825273;28/09/2018 13:25;18.9;0
72998;1497825274;28/09/2018 13:25;18.9;0
73999;1497825275;28/09/2018 13:25;18.9;0
74999;1497825276;28/09/2018 13:25;18.9;0
75999;1497825277;28/09/2018 13:25;18.9;0
76999;1497825278;28/09/2018 13:25;18.9;0
77999;1497825279;28/09/2018 13:25;18.9;0
78999;1497825280;28/09/2018 13:25;18.9;0
80000;1497825281;28/09/2018 13:25;18.8;0
80999;1497825282;28/09/2018 13:25;18.8;0
81998;1497825283;28/09/2018 13:25;18.8;0
82999;1497825284;28/09/2018 13:25;18.8;0
83998;1497825285;28/09/2018 13:25;18.8;0
85000;1497825286;28/09/2018 13:25;18.8;0
85998;1497825287;28/09/2018 13:25;18.8;0
87000;1497825288;28/09/2018 13:25;18.8;0
87999;1497825289;28/09/2018 13:26;18.8;0
88999;1497825290;28/09/2018 13:26;18.8;0
90000;1497825291;28/09/2018 13:26;18.8;0
90999;1497825292;28/09/2018 13:26;18.8;0
92000;1497825293;28/09/2018 13:26;18.8;0
92999;1497825294;28/09/2018 13:26;18.8;0
93999;1497825295;28/09/2018 13:26;18.8;0
94999;1497825296;28/09/2018 13:26;18.8;0
95998;1497825297;28/09/2018 13:26;18.8;0
96999;1497825298;28/09/2018 13:26;18.8;0
97999;1497825299;28/09/2018 13:26;18.8;0
98999;1497825300;28/09/2018 13:26;18.8;0
99999;1497825301;28/09/2018 13:26;18.7;0
100999;1497825302;28/09/2018 13:26;18.7;0
101999;1497825303;28/09/2018 13:26;18.7;0
102999;1497825304;28/09/2018 13:26;18.7;0
104000;1497825305;28/09/2018 13:26;18.7;0
104998;1497825306;28/09/2018 13:26;18.7;0
105999;1497825307;28/09/2018 13:26;18.7;0
106998;1497825308;28/09/2018 13:26;18.7;0
107999;1497825309;28/09/2018 13:26;18.7;0
108999;1497825310;28/09/2018 13:26;18.7;0
109999;1497825311;28/09/2018 13:26;18.7;0
110999;1497825312;28/09/2018 13:26;18.7;0
111998;1497825313;28/09/2018 13:26;18.7;0
112999;1497825314;28/09/2018 13:26;18.7;0
113999;1497825315;28/09/2018 13:26;18.7;0
115000;1497825316;28/09/2018 13:26;18.7;0
115999;1497825317;28/09/2018 13:26;18.7;0
116999;1497825318;28/09/2018 13:26;18.7;0
117999;1497825319;28/09/2018 13:27;18.7;0
119000;1497825320;28/09/2018 13:27;18.7;0
119999;1497825321;28/09/2018 13:27;18.7;0
120998;1497825322;28/09/2018 13:27;18.7;0
122000;1497825323;28/09/2018 13:27;18.6;0
122999;1497825324;28/09/2018 13:27;18.6;0
124000;1497825325;28/09/2018 13:27;18.6;0
124998;1497825326;28/09/2018 13:27;18.7;0
125999;1497825327;28/09/2018 13:27;18.7;0
126999;1497825328;28/09/2018 13:27;18.7;0
127998;1497825329;28/09/2018 13:27;18.7;0
129000;1497825330;28/09/2018 13:27;18.7;0
129999;1497825331;28/09/2018 13:27;18.7;0
131000;1497825332;28/09/2018 13:27;18.6;0
132000;1497825333;28/09/2018 13:27;18.6;0
132999;1497825334;28/09/2018 13:27;18.6;0
133999;1497825335;28/09/2018 13:27;18.6;0
134999;1497825336;28/09/2018 13:27;18.6;0
135999;1497825337;28/09/2018 13:27;18.6;0
136998;1497825338;28/09/2018 13:27;18.6;0
138000;1497825339;28/09/2018 13:27;18.6;0
138999;1497825340;28/09/2018 13:27;18.6;0
139999;1497825341;28/09/2018 13:27;18.6;0
140999;1497825342;28/09/2018 13:27;18.6;0
142000;1497825343;28/09/2018 13:27;18.6;0
142999;1497825344;28/09/2018 13:27;18.6;0
143998;1497825345;28/09/2018 13:27;18.6;0
144999;1497825346;28/09/2018 13:27;18.6;0
145999;1497825347;28/09/2018 13:27;18.6;0
147000;1497825348;28/09/2018 13:27;18.6;0
148000;1497825349;28/09/2018 13:28;18.6;0
148999;1497825350;28/09/2018 13:28;18.6;0
149999;1497825351;28/09/2018 13:28;18.6;0
150999;1497825352;28/09/2018 13:28;18.6;0
152000;1497825353;28/09/2018 13:28;18.6;0
152998;1497825354;28/09/2018 13:28;18.6;0
153999;1497825355;28/09/2018 13:28;18.6;0
154999;1497825356;28/09/2018 13:28;18.6;0
156000;1497825357;28/09/2018 13:28;18.6;0
156998;1497825358;28/09/2018 13:28;18.6;0
158000;1497825359;28/09/2018 13:28;18.6;0
158999;1497825360;28/09/2018 13:28;18.6;0
159998;1497825361;28/09/2018 13:28;18.6;0
160999;1497825362;28/09/2018 13:28;18.6;0
161999;1497825363;28/09/2018 13:28;18.5;0
162999;1497825364;28/09/2018 13:28;18.5;0
163998;1497825365;28/09/2018 13:28;18.5;0
165000;1497825366;28/09/2018 13:28;18.5;0
165999;1497825367;28/09/2018 13:28;18.5;0
166999;1497825368;28/09/2018 13:28;18.5;0
167999;1497825369;28/09/2018 13:28;18.5;0
168999;1497825370;28/09/2018 13:28;18.5;0
169999;1497825371;28/09/2018 13:28;18.5;0
170999;1497825372;28/09/2018 13:28;18.5;0
171999;1497825373;28/09/2018 13:28;18.5;0
172998;1497825374;28/09/2018 13:28;18.5;0
174000;1497825375;28/09/2018 13:28;18.5;0
174999;1497825376;28/09/2018 13:28;18.5;0
175998;1497825377;28/09/2018 13:28;18.5;0
176999;1497825378;28/09/2018 13:28;18.5;0
177999;1497825379;28/09/2018 13:29;18.9;1
179000;1497825380;28/09/2018 13:29;19.6;1
179998;1497825381;28/09/2018 13:29;20.3;1
181000;1497825382;28/09/2018 13:29;20.9;1
181999;1497825383;28/09/2018 13:29;22.1;1
183000;1497825384;28/09/2018 13:29;24.2;1
183999;1497825385;28/09/2018 13:29;27.4;1
184999;1497825386;28/09/2018 13:29;31.1;1
185999;1497825387;28/09/2018 13:29;33.8;1
186998;1497825388;28/09/2018 13:29;32.6;0
188000;1497825389;28/09/2018 13:29;30.5;0
188999;1497825390;28/09/2018 13:29;28.4;0
190000;1497825391;28/09/2018 13:29;27.7;0
190998;1497825392;28/09/2018 13:29;24.3;0
192001;1497825393;28/09/2018 13:29;24;0
192999;1497825394;28/09/2018 13:29;23.1;0
193999;1497825395;28/09/2018 13:29;22.8;0
194999;1497825396;28/09/2018 13:29;21.9;0
195999;1497825397;28/09/2018 13:29;19.6;0
